ICAO,TYPE/SIZE,NAME,ELEVATION,iso_country,iso_region,municipality,Lat,Lon
KFBR,small_airport,Fort Bridger Airport,7034,US,US-WY,Fort Bridger,-110.4069977,41.39189911
KFBY,small_airport,Fairbury Municipal Airport,1479,US,US-NE,Fairbury,-97.16929626,40.18299866
KFCH,small_airport,Fresno Chandler Executive Airport,279,US,US-CA,Fresno,-119.8199997,36.73239899
KFCI,small_airport,Chesterfield County Airport,236,US,US-VA,Richmond,-77.52500153,37.40650177
KFCM,small_airport,Flying Cloud Airport,906,US,US-MN,Minneapolis,-93.45709991,44.82720184
KFCS,medium_airport,Butts AAF (Fort Carson) Air Field,5838,US,US-CO,Fort Carson,-104.7570038,38.67839813
KFCT,heliport,Vagabond Army Heliport,1378,US,US-WA,Yakima,-120.455984,46.669421
KFCY,small_airport,Forrest City Municipal Airport,249,US,US-AR,Forrest City,-90.77500153,34.94200134
KFDK,small_airport,Frederick Municipal Airport,303,US,US-MD,Frederick,-77.3742981,39.41759872
KFDR,small_airport,Frederick Regional Airport,1258,US,US-OK,Frederick,-98.98390198,34.35200119
KFDW,small_airport,Fairfield County Airport,577,US,US-SC,Winnsboro,-81.1088028,34.31549835
KFDY,medium_airport,Findlay Airport,813,US,US-OH,Findlay,-83.66870117,41.01350021
KFEP,small_airport,Albertus Airport,859,US,US-IL,Freeport,-89.58200073,42.24620056
KFES,small_airport,Festus Memorial Airport,433,US,US-MO,Festus,-90.38539886,38.19490051
KFET,small_airport,Fremont Municipal Airport,1204,US,US-NE,Fremont,-96.52020264,41.44910049
KFFA,small_airport,First Flight Airport,13,US,US-NC,Kill Devil Hills,-75.6713028,36.01819992
KFFC,small_airport,Peachtree City Falcon Field,808,US,US-GA,Atlanta,-84.57180023,33.3572998
KFFL,small_airport,Fairfield Municipal Airport,799,US,US-IA,Fairfield,-91.97889709,41.05329895
KFFM,small_airport,Fergus Falls Municipal Airport - Einar Mickelson Field,1183,US,US-MN,Fergus Falls,-96.15670013,46.28440094
KFFO,large_airport,Wright-Patterson Air Force Base,823,US,US-OH,Dayton,-84.0483017,39.8260994
KFFT,small_airport,Capital City Airport,806,US,US-KY,Frankfort,-84.90470123,38.18249893
KFFX,small_airport,Fremont Municipal Airport,772,US,US-MI,Fremont,-85.99490356,43.43930054
KFFZ,small_airport,Falcon Field,1394,US,US-AZ,Mesa,-111.7279968,33.46080017
KFGX,small_airport,Fleming Mason Airport,913,US,US-KY,Flemingsburg,-83.74340057,38.54180145
KFHR,small_airport,Friday Harbor Airport,113,US,US-WA,Friday Harbor,-123.0240021,48.52199936
KFHU,medium_airport,Sierra Vista Municipal Libby Army Air Field,4719,US,US-AZ,Fort Huachuca Sierra Vista,-110.3440018,31.58849907
KFIG,small_airport,Clearfield Lawrence Airport,1516,US,US-PA,Clearfield,-78.4131012,41.04859924
KFIT,small_airport,Fitchburg Municipal Airport,348,US,US-MA,Fitchburg,-71.75900269,42.55410004
KFKA,small_airport,Fillmore County Airport,1277,US,US-MN,Preston,-92.17970276,43.67679977
KFKL,medium_airport,Venango Regional Airport,1540,US,US-PA,Franklin,-79.86039734,41.37789917
KFKN,small_airport,Franklin Regional Airport,41,US,US-VA,Franklin,-76.903801,36.698101
KFKR,small_airport,Frankfort Municipal Airport,861,US,US-IN,Frankfort,-86.56220245,40.27339935
KFKS,small_airport,Frankfort Dow Memorial Field,633,US,US-MI,Frankfort,-86.20079803,44.62519836
KFLD,small_airport,Fond du Lac County Airport,808,US,US-WI,Fond du Lac,-88.48840332,43.77119827
KFLG,medium_airport,Flagstaff Pulliam Airport,7014,US,US-AZ,Flagstaff,-111.6709976,35.13850021
KFLL,large_airport,Fort Lauderdale Hollywood International Airport,9,US,US-FL,Fort Lauderdale,-80.152702,26.072599
KFLO,medium_airport,Florence Regional Airport,146,US,US-SC,Florence,-79.72389984,34.1853981
KFLP,small_airport,Marion County Regional Airport,719,US,US-AR,Flippin,-92.59030151,36.29090118
KFLR,closed,Fall River Airport,190,US,US-MA,Fall River,-71.10970306,41.75500107
KFLU,closed,Flushing Airport,,US,US-NY,Queens,-73.83260345,40.77870178
KFLV,small_airport,Sherman Army Air Field,772,US,US-KS,Fort Leavenworth,-94.91470337,39.36830139
KFLX,small_airport,Fallon Municipal Airport,3963,US,US-NV,Fallon,-118.7490005,39.49909973
KFME,medium_airport,Tipton Airport,150,US,US-MD,Fort Meade(Odenton),-76.75939941,39.08539963
KFMH,small_airport,Cape Cod Coast Guard Air Station,131,US,US-MA,Falmouth,-70.52140045,41.65840149
KFMM,small_airport,Fort Morgan Municipal Airport,4569,US,US-CO,Fort Morgan,-103.8040009,40.33359909
KFMN,medium_airport,Four Corners Regional Airport,5506,US,US-NM,Farmington,-108.2300034,36.74119949
KFMY,medium_airport,Page Field,17,US,US-FL,Fort Myers,-81.86329651,26.58659935
KFMZ,small_airport,Fairmont State Airfield,1636,US,US-NE,Fairmont,-97.57309723,40.58610153
KFNB,small_airport,Brenner Field,984,US,US-NE,Falls City,-95.59200287,40.0788002
KFNL,small_airport,Northern Colorado Regional Airport,5016,US,US-CO,Fort Collins/Loveland,-105.011,40.451804
KFNT,medium_airport,Bishop International Airport,782,US,US-MI,Flint,-83.74359894,42.9654007
KFOA,small_airport,Flora Municipal Airport,473,US,US-IL,Flora,-88.45300293,38.66490173
KFOD,medium_airport,Fort Dodge Regional Airport,1156,US,US-IA,Fort Dodge,-94.19259644,42.55149841
KFOE,medium_airport,Topeka Regional Airport - Forbes Field,1078,US,US-KS,Topeka,-95.66359711,38.95090103
KFOK,small_airport,Francis S Gabreski Airport,67,US,US-NY,Westhampton Beach,-72.63179779,40.84370041
KFOM,small_airport,Fillmore Municipal Airport,4985,US,US-UT,Fillmore,-112.362999,38.95830154
KFOT,small_airport,Rohnerville Airport,393,US,US-CA,Fortuna,-124.1330032,40.55390167
KFOZ,small_airport,Bigfork Municipal Airport,1348,US,US-MN,Bigfork,-93.65019989,47.78279877
KFPK,small_airport,Fitch H Beach Airport,891,US,US-MI,Charlotte,-84.81140137,42.57450104
KFPR,medium_airport,St Lucie County International Airport,24,US,US-FL,Fort Pierce,-80.36830139,27.49510002
KFQD,small_airport,Rutherford County Marchman Field,1077,US,US-NC,Rutherfordton,-81.935097,35.4282
KFRG,medium_airport,Republic Airport,82,US,US-NY,Farmingdale,-73.41339874,40.72880173
KFRH,small_airport,French Lick Municipal Airport,792,US,US-IN,French Lick,-86.63690186,38.50619888
KFRI,medium_airport,Marshall Army Air Field,1065,US,US-KS,Fort Riley(Junction City),-96.76450348,39.05530167
KFRM,small_airport,Fairmont Municipal Airport,1162,US,US-MN,Fairmont,-94.41560364,43.64390183
KFRR,small_airport,Front Royal Warren County Airport,709,US,US-VA,Front Royal,-78.25350189,38.91749954
KFSD,medium_airport,Joe Foss Field Airport,1429,US,US-SD,Sioux Falls,-96.74189758,43.58200073
KFSE,small_airport,Fosston Municipal Airport-Anderson Field,1277,US,US-MN,Fosston,-95.773499,47.5928
KFSI,medium_airport,Henry Post Army Air Field (Fort Sill),1189,US,US-OK,Fort Sill,-98.40219879,34.64979935
KFSK,small_airport,Fort Scott Municipal Airport,918,US,US-KS,Fort Scott,-94.76940155,37.79840088
KFSM,large_airport,Fort Smith Regional Airport,469,US,US-AR,Fort Smith,-94.36740112,35.33660126
KFSO,small_airport,Franklin County State Airport,228,US,US-VT,Highgate,-73.09750366,44.94029999
KFST,medium_airport,Fort Stockton Pecos County Airport,3011,US,US-TX,Fort Stockton,-102.9160004,30.91570091
KFSU,small_airport,Fort Sumner Municipal Airport,4165,US,US-NM,Fort Sumner,-104.2170029,34.48339844
KFSW,small_airport,Fort Madison Municipal Airport,724,US,US-IA,Fort Madison,-91.32679749,40.65930176
KFTG,small_airport,Colorado Air and Space Port,5512,US,US-CO,Denver,-104.537639,39.784194
KFTK,medium_airport,Godman Army Air Field,756,US,US-KY,Fort Knox,-85.9720993,37.90710068
KFTT,small_airport,Elton Hensley Memorial Airport,886,US,US-MO,Fulton,-92.00260162,38.83810043
KFTW,large_airport,Fort Worth Meacham International Airport,710,US,US-TX,Fort Worth,-97.362396,32.819801
KFTY,medium_airport,Fulton County Airport Brown Field,841,US,US-GA,Atlanta,-84.52140045,33.77909851
KFUL,small_airport,Fullerton Municipal Airport,96,US,US-CA,Fullerton,-117.9800034,33.87200165
KFVE,small_airport,Northern Aroostook Regional Airport,988,US,US-ME,Frenchville,-68.31279755,47.28549957
KFVX,small_airport,Farmville Regional Airport,416,US,US-VA,Farmville,-78.43779755,37.35749817
KFWA,large_airport,Fort Wayne International Airport,814,US,US-IN,Fort Wayne,-85.19509888,40.97850037
KFWC,small_airport,Fairfield Municipal Airport,436,US,US-IL,Fairfield,-88.41269684,38.37860107
KFWN,small_airport,Sussex Airport,421,US,US-NJ,Sussex,-74.6230011,41.20019913
KFWQ,small_airport,Rostraver Airport,1228,US,US-PA,Monongahela,-79.83139801,40.20970154
KFWS,small_airport,Fort Worth Spinks Airport,700,US,US-TX,Fort Worth,-97.30809784,32.56520081
KFXE,medium_airport,Fort Lauderdale Executive Airport,13,US,US-FL,Fort Lauderdale,-80.17070007,26.19729996
KFXY,small_airport,Forest City Municipal Airport,1229,US,US-IA,Forest City,-93.62409973,43.23469925
